container,operation,size,run,time_us
MyArray5000,ctor_init_list,5000,3,21
MyArray5000,operator[],5000,3,7
MyArray5000,at,5000,3,10
MyArray5000,iterate,5000,3,10
MyArray5000,copy_ctor,5000,3,9
MyArray5000,move_ctor,5000,3,8
MyArray5000,swap,5000,3,26
MyArray5000,compare_eq,5000,3,7
MyArray5000,compare_three_way,5000,3,7
MyArray5000,ctor_default,5000,4,9
MyArray5000,ctor_init_list,5000,4,28
MyArray5000,operator[],5000,4,8
MyArray5000,at,5000,4,10
MyArray5000,iterate,5000,4,8
MyArray5000,copy_ctor,5000,4,9
MyArray5000,move_ctor,5000,4,8
MyArray5000,swap,5000,4,26
MyArray5000,compare_eq,5000,4,8
MyArray5000,compare_three_way,5000,4,7
MyArray5000,ctor_default,5000,5,8
MyArray5000,ctor_init_list,5000,5,25
MyArray5000,operator[],5000,5,7
MyArray5000,at,5000,5,10
MyArray5000,iterate,5000,5,10
MyArray5000,copy_ctor,5000,5,8
MyArray5000,move_ctor,5000,5,9
MyArray5000,swap,5000,5,29
MyArray5000,compare_eq,5000,5,7
MyArray5000,compare_three_way,5000,5,8
